epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,9785.83,1.18255,0.55542,0.84124,0.74606,0.60613,0.64357,0.34716,1.29556,0.59314,0.84797,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9901.78,1.17702,0.55122,0.83813,0.75086,0.6045,0.64292,0.34671,1.29655,0.59328,0.84826,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10016.6,1.17527,0.54893,0.83971,0.74854,0.60582,0.64274,0.34694,1.29575,0.59316,0.8484,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10132,1.1703,0.54708,0.83905,0.74548,0.60817,0.64268,0.3469,1.29544,0.59249,0.84851,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10247.5,1.16429,0.54485,0.83901,0.74876,0.60631,0.64328,0.3467,1.29548,0.59242,0.84876,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10363.3,1.16963,0.54577,0.838,0.74644,0.60846,0.64367,0.34685,1.29597,0.59235,0.84894,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10478.8,1.16033,0.54063,0.83744,0.74718,0.60634,0.64284,0.34671,1.29572,0.59235,0.84904,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10594.8,1.1246,0.52311,0.84023,0.74931,0.60526,0.64258,0.34648,1.29772,0.59273,0.84932,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10709.3,1.11381,0.51452,0.8376,0.74767,0.60605,0.64249,0.34589,1.29868,0.59295,0.84929,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10823.9,1.10973,0.51407,0.83784,0.74872,0.60469,0.64188,0.34598,1.29901,0.59351,0.84937,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10938.5,1.11364,0.51365,0.83831,0.74303,0.60659,0.64164,0.34543,1.2999,0.59409,0.84953,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11052.9,1.10525,0.51054,0.83553,0.74647,0.60444,0.64158,0.34518,1.30028,0.59468,0.84982,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11167.2,1.1036,0.50761,0.83545,0.74832,0.60352,0.6412,0.34482,1.30054,0.59514,0.84996,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11281.1,1.09768,0.50342,0.83491,0.75027,0.6031,0.64113,0.34479,1.30064,0.59512,0.85008,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11395.5,1.09802,0.50535,0.83479,0.74898,0.60432,0.64127,0.34476,1.30088,0.59534,0.85007,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11510.4,1.09584,0.50481,0.83479,0.74768,0.6043,0.64097,0.34461,1.30093,0.59556,0.85017,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11625.1,1.09021,0.5004,0.83459,0.7477,0.60342,0.64075,0.34426,1.30132,0.59606,0.85038,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
